Fox_ID,Year,Julian_day,Distance_traveled,Prop_active
926021,2019,195,16964.399924795,0.333333333333333
926013,2019,170,45827.3113619752,0.64775641025641
926013,2019,171,33581.5660634817,0.563022508038585
926013,2019,172,43306.9463162316,0.767307692307692
926013,2019,173,32499.337820936,0.56517571884984
926013,2019,174,46265.2516823449,0.642172523961661
926013,2019,175,44117.4848727589,0.654313099041534
926013,2019,176,40869.765635985,0.742539682539683
926013,2019,177,37894.6453263953,0.586392405063291
926013,2019,178,38892.3025582088,0.701916932907348
926013,2019,179,30783.9214987193,0.529073482428115
926013,2019,180,42442.3471568969,0.631111111111111
926013,2019,190,39117.3334228828,0.629430379746835
926013,2019,191,39712.904538293,0.659493670886076
926013,2019,192,39612.8683010388,0.683818770226537
926013,2019,195,32232.647819858,0.578662420382166
926018,2019,170,15289.131166967,0.247169811320755
926018,2019,171,11787.7614026119,0.250473186119874
926018,2019,172,12477.8861713413,0.280188679245283
926018,2019,173,12200.2897031083,0.231545741324921
926018,2019,174,7823.199956082,0.170347003154574
926018,2019,175,18263.6752086012,0.348253968253968
926018,2019,176,19861.1319332442,0.461829652996845
926018,2019,177,12237.417880467,0.291772151898734
926018,2019,178,25533.3803061889,0.526031746031746
926018,2019,179,33239.6553396069,0.405678233438486
926018,2019,180,19641.498590703,0.367192429022082
926018,2019,181,23576.2175973336,0.454504504504505
926018,2019,189,26116.9756396794,0.349050632911392
926018,2019,190,26603.8129412923,0.562658227848101
926018,2019,191,21271.8342039793,0.525
926018,2019,192,20957.70209613,0.404731861198738
926018,2019,193,18785.5620908787,0.408227848101266
926018,2019,194,14522.6890829512,0.267610062893082
926018,2019,195,18467.9542208604,0.415506329113924
926012,2019,161,18369.9239176031,0.320382165605096
926012,2019,162,29646.3304835503,0.475238095238095
926012,2019,163,32177.5655020827,0.432698412698413
926012,2019,164,27925.5350587381,0.386435331230284
926012,2019,165,32036.0460051094,0.50379746835443
926012,2019,166,30525.6126847312,0.56952380952381
926012,2019,167,35433.2750848817,0.543234323432343
926012,2019,168,39701.833945723,0.600316455696203
926012,2019,169,35159.8117232096,0.552848101265823
926012,2019,170,35241.445687336,0.553164556962025
926012,2019,171,26225.8262730452,0.505732484076433
926012,2019,172,46066.5530659934,0.636075949367089
926012,2019,173,34946.2785588709,0.458544303797468
926012,2019,174,35268.1723964661,0.479430379746835
926012,2019,175,30732.2007696446,0.424683544303798
926012,2019,176,45772.3521964161,0.650316455696203
926012,2019,177,44682.1785882954,0.608250825082508
926012,2019,178,36592.8134839351,0.465615141955836
926012,2019,179,32756.482263349,0.586984126984127
926012,2019,180,37469.7297349636,0.525641025641026
926012,2019,181,34979.0445246475,0.52984126984127
926012,2019,189,29829.7394876726,0.586407766990291
926012,2019,190,31726.300954672,0.482334384858044
926012,2019,191,25257.0708899953,0.521405750798722
926012,2019,192,24908.7532434462,0.487341772151899
926012,2019,195,34166.6606859912,0.539047619047619
926017,2019,165,36153.4069839702,0.481269841269841
926017,2019,166,46266.4318974524,0.586119873817035
926017,2019,167,42229.3586043211,0.582649842271293
926017,2019,168,42967.7357427718,0.524921135646688
926017,2019,169,46819.7991917671,0.556466876971609
926017,2019,170,42109.1543125166,0.540506329113924
926017,2019,171,42967.1547457809,0.522712933753943
926017,2019,172,50268.9179085893,0.599053627760252
926017,2019,173,52037.4565717904,0.590536277602524
926017,2019,174,48775.4727404162,0.593375394321767
926017,2019,175,38368.3941455806,0.408832807570978
926017,2019,176,46958.7174264723,0.566037735849057
926017,2019,177,52339.3294039927,0.66031746031746
926017,2019,178,49288.2582551063,0.578616352201258
926017,2019,179,46655.0113114803,0.525316455696203
926017,2019,180,44430.5053814661,0.567721518987342
926017,2019,181,46976.3282307717,0.609148264984227
926017,2019,190,44249.4329365439,0.543217665615142
926017,2019,191,55068.9565910832,0.611635220125786
926017,2019,192,63266.2431358512,0.592721518987342
926017,2019,193,65126.2982278473,0.541955835962145
926017,2019,194,53229.6590245463,0.48801261829653
926017,2019,195,43661.4608398301,0.443217665615142
926022,2019,163,23251.5690404735,0.274763406940063
926022,2019,164,30007.6414302238,0.357547169811321
926022,2019,165,34314.9839504581,0.393312101910828
926022,2019,166,39767.0321809135,0.49211356466877
926022,2019,167,25547.4993664118,0.35314465408805
926022,2019,168,39460.8184131363,0.493037974683544
926022,2019,169,31017.5233889628,0.389308176100629
926022,2019,170,34242.2193077488,0.45583596214511
926022,2019,171,32536.6999587441,0.393396226415094
926022,2019,172,36803.0232127261,0.525552050473186
