Year,Farm,YearFarmNB,wing,BD,AG,MAX,RN,HD,WT,FDM,Comp.1,Comp.2
2012,1,2012_01_04,51.82,0.906903009,ASY,2.318029285,-1.419281665,-0.020376842,-0.571802352,1.174620933,1.699746906,0.838040612
2006,1,2006_01_05,46.67,-0.963708045,ASY,-1.047731706,1.229412713,-0.217482982,-0.571802352,-0.083781075,1.378830176,-0.703936242
2006,1,2006_01_05,42.26,-0.963708045,ASY,-1.047731706,1.229412713,-0.217482982,-0.571802352,-0.083781075,1.378830176,-0.703936242
2006,1,2006_01_05,48.22,-0.963708045,ASY,-1.047731706,1.229412713,-0.217482982,-0.571802352,-0.083781075,1.378830176,-0.703936242
2006,1,2006_01_05,42.63,-0.963708045,ASY,-1.047731706,1.229412713,-0.217482982,-0.571802352,-0.083781075,1.378830176,-0.703936242
2008,1,2008_01_05,52.8,-0.028402518,ASY,0.640770517,-0.712963165,-0.414589121,-0.571802352,-0.079321512,2.320150972,0.903748429
2008,1,2008_01_05,51.81,-0.028402518,ASY,0.640770517,-0.712963165,-0.414589121,-0.571802352,-0.079321512,2.320150972,0.903748429
2013,1,2013_01_05,38.14,-1.403851822,ASY,-1.543369608,0.30236968,-1.597225958,-0.571802352,0.606531391,2.462671894,2.231903148
2013,1,2013_01_05,31.4,-1.403851822,ASY,-1.543369608,0.30236968,-1.597225958,-0.571802352,0.606531391,2.462671894,2.231903148
2014,1,2014_01_05,49.26,-0.633600212,ASY,-0.594025272,1.464852213,0.176729297,-0.571802352,1.145030123,1.890410036,1.171511361
2014,1,2014_01_05,52.12,-0.633600212,ASY,-0.594025272,1.464852213,0.176729297,-0.571802352,1.145030123,1.890410036,1.171511361
2010,1,2010_01_05,40.64,1.126974897,ASY,-1.451173286,0.6702439,-0.8088014,-0.571802352,0.586306845,2.518344944,1.709280416
2010,1,2010_01_05,46.22,1.126974897,ASY,-1.451173286,0.6702439,-0.8088014,-0.571802352,0.586306845,2.518344944,1.709280416
2010,1,2010_01_05,46.65,1.126974897,ASY,-1.451173286,0.6702439,-0.8088014,-0.571802352,0.586306845,2.518344944,1.709280416
2010,1,2010_01_05,46.48,1.126974897,ASY,-1.451173286,0.6702439,-0.8088014,-0.571802352,0.586306845,2.518344944,1.709280416
2010,1,2010_01_05,39.65,1.126974897,ASY,-1.451173286,0.6702439,-0.8088014,-0.571802352,0.586306845,2.518344944,1.709280416
2010,1,2010_01_05,46.56,1.126974897,ASY,-1.451173286,0.6702439,-0.8088014,-0.571802352,0.586306845,2.518344944,1.709280416
2008,1,2008_01_05,52.08,-0.028402518,ASY,0.640770517,-0.712963165,-0.414589121,-0.571802352,-0.079321512,2.320150972,0.903748429
2008,1,2008_01_05,51.88,-0.028402518,ASY,0.640770517,-0.712963165,-0.414589121,-0.571802352,-0.079321512,2.320150972,0.903748429
2014,1,2014_01_05,50.8,-0.633600212,ASY,-0.594025272,1.464852213,0.176729297,-0.571802352,1.145030123,1.890410036,1.171511361
2007,1,2007_01_05,56.4,0.851885037,ASY,1.642760672,-1.301561915,0.373835436,-0.571802352,-0.425739867,1.360847608,0.080689682
2007,1,2007_01_05,51.69,0.851885037,ASY,1.642760672,-1.301561915,0.373835436,-0.571802352,-0.425739867,1.360847608,0.080689682
2007,1,2007_01_05,50.76,0.851885037,ASY,1.642760672,-1.301561915,0.373835436,-0.571802352,-0.425739867,1.360847608,0.080689682
2014,1,2014_01_05,54.9,-0.633600212,ASY,-0.594025272,1.464852213,0.176729297,-0.571802352,1.145030123,1.890410036,1.171511361
2007,1,2007_01_05,44.6,0.851885037,ASY,1.642760672,-1.301561915,0.373835436,-0.571802352,-0.425739867,1.360847608,0.080689682
2007,1,2007_01_05,49.43,0.851885037,ASY,1.642760672,-1.301561915,0.373835436,-0.571802352,-0.425739867,1.360847608,0.080689682
2008,1,2008_01_05,51.59,-0.028402518,ASY,0.640770517,-0.712963165,-0.414589121,-0.571802352,-0.079321512,2.320150972,0.903748429
2008,1,2008_01_06,51.6,0.906903009,ASY,0.112328184,-0.698248196,0.373835436,-0.571802352,0.192891843,2.320150972,0.903748429
2011,1,2011_01_06,36.16,0.906903009,ASY,0.258493084,-0.815967946,0.570941576,-0.571802352,-0.197573942,2.551714255,1.693722891
2010,1,2010_01_06,38.32,0.906903009,ASY,-0.305002369,0.346514587,-0.414589121,-0.571802352,0.737557563,2.518344944,1.709280416
2010,1,2010_01_06,44.62,0.906903009,ASY,-0.305002369,0.346514587,-0.414589121,-0.571802352,0.737557563,2.518344944,1.709280416
2008,1,2008_01_06,52.63,0.906903009,ASY,0.112328184,-0.698248196,0.373835436,-0.571802352,0.192891843,2.320150972,0.903748429
2011,1,2011_01_06,32.59,0.906903009,ASY,0.258493084,-0.815967946,0.570941576,-0.571802352,-0.197573942,2.551714255,1.693722891
2011,1,2011_01_06,34.91,0.906903009,ASY,0.258493084,-0.815967946,0.570941576,-0.571802352,-0.197573942,2.551714255,1.693722891
2016,1,2016_01_06,45.89,-1.128761961,ASY,1.20492735,-1.213272103,2.147790691,-0.571802352,-1.029993132,2.454829477,2.231954541
2010,1,2010_01_06,36.69,0.906903009,ASY,-0.305002369,0.346514587,-0.414589121,-0.571802352,0.737557563,2.518344944,1.709280416
2010,1,2010_01_06,35.14,0.906903009,ASY,-0.305002369,0.346514587,-0.414589121,-0.571802352,0.737557563,2.518344944,1.709280416
2011,1,2011_01_06,29.41,0.906903009,ASY,0.258493084,-0.815967946,0.570941576,-0.571802352,-0.197573942,2.551714255,1.693722891
2016,1,2016_01_06,48.52,-1.128761961,ASY,1.20492735,-1.213272103,2.147790691,-0.571802352,-1.029993132,2.454829477,2.231954541
2010,1,2010_01_06,42.17,0.906903009,ASY,-0.305002369,0.346514587,-0.414589121,-0.571802352,0.737557563,2.518344944,1.709280416
2008,1,2008_01_06,47.9,0.906903009,ASY,0.112328184,-0.698248196,0.373835436,-0.571802352,0.192891843,2.320150972,0.903748429
2011,1,2011_01_06,30.52,0.906903009,ASY,0.258493084,-0.815967946,0.570941576,-0.571802352,-0.197573942,2.551714255,1.693722891
2016,1,2016_01_06,42.42,-1.128761961,ASY,1.20492735,-1.213272103,2.147790691,-0.571802352,-1.029993132,2.454829477,2.231954541
2012,1,2012_01_06,41.5,-2.174103432,SY,2.318029285,-1.419281665,-0.020376842,-0.571802352,1.174620933,1.699746906,0.838040612
2008,1,2008_01_06,52.25,0.906903009,ASY,0.112328184,-0.698248196,0.373835436,-0.571802352,0.192891843,2.320150972,0.903748429
2008,1,2008_01_06,51.15,0.906903009,ASY,0.112328184,-0.698248196,0.373835436,-0.571802352,0.192891843,2.320150972,0.903748429
2011,1,2011_01_06,30.94,0.906903009,ASY,0.258493084,-0.815967946,0.570941576,-0.571802352,-0.197573942,2.551714255,1.693722891
