id_chipmunk;laboratory;date_analysis;date_hairsample;site;sex;age;year;year_mast;season;body_mass;d15N;d13C;d15N_corrected;d13C_corrected;mean_Blup_exploration;type_explo
J057;GEOTOP;2017;17/05/2016;1;F;3;2016;Non-Mast;spring;81 25;3 66;-22 83;3 09;-22 45;-27 73;slow
H072;GEOTOP;2017;23/05/2015;3;F;4;2015;Mast;spring;82 5;3 7;-23 58;3 13;-23 2;-7 21;inter
L013;GEOTOP;2017;18/05/2016;1;M;1;2016;Non-Mast;spring;79 5;3 29;-23 34;2 72;-22 96;-14 47;slow
J011;GEOTOP;2017;24/05/2015;1;F;2;2015;Mast;spring;89 25;6 25;-23 52;5 68;-23 14;0 46;inter
J048;GEOTOP;2017;18/05/2016;1;M;3;2016;Non-Mast;spring;94;3 95;-22 92;3 38;-22 54;-3 27;slow
J004;GEOTOP;2017;24/05/2015;1;F;2;2015;Mast;spring;75 25;3 44;-23 34;2 87;-22 96;10 87;inter
L015;GEOTOP;2017;18/05/2016;1;M;1;2016;Non-Mast;spring;86;4 28;-22 45;3 71;-22 07;-16 63;slow
J017;GEOTOP;2017;24/05/2015;1;F;1;2015;Mast;spring;68;5 83;-23 7;5 26;-23 32;24 33;fast
L010;GEOTOP;2017;18/05/2016;1;M;1;2016;Non-Mast;spring;90;n/a;-22 13;n/a;-21 75;-7 34;slow
J026;GEOTOP;2017;24/05/2015;1;F;2;2015;Mast;spring;76;3 42;-24 49;2 85;-24 11;0 31;inter
J026;GEOTOP;2017;18/05/2016;1;F;3;2016;Non-Mast;spring;91 75;3 54;-22 9;2 97;-22 52;0 31;inter
J047;GEOTOP;2017;24/05/2015;1;F;2;2015;Mast;spring;82;4 16;-23 86;3 59;-23 48;7 34;inter
K059;GEOTOP;2017;19/05/2016;2;F;1;2016;Non-Mast;spring;78 25;3 15;-22 58;2 58;-22 2;8 66;fast
I053;GEOTOP;2017;24/05/2015;1;M;3;2015;Mast;spring;90;3 52;-22 12;2 95;-21 74;-9 96;slow
L017;GEOTOP;2017;19/05/2016;2;M;1;2016;Non-Mast;spring;85;4 02;-23 28;3 45;-22 9;3 92;fast
J008;GEOTOP;2017;20/05/2016;2;F;3;2016;Non-Mast;spring;84;3 45;-22 98;2 88;-22 6;5 49;fast
L018;GEOTOP;2017;20/05/2016;2;F;1;2016;Non-Mast;spring;83 67;3 28;-23 21;2 71;-22 83;35 46;fast
H005;GEOTOP;2017;24/05/2015;1;M;4;2015;Mast;spring;99;4 69;-23 39;4 12;-23 01;-6 91;slow
H058;GEOTOP;2017;21/05/2016;3;F;4;2016;Non-Mast;spring;83;1 76;-22 42;1 19;-22 04;-0 28;inter
J028;GEOTOP;2017;24/05/2015;1;M;2;2015;Mast;spring;88;3 94;-23 51;3 37;-23 13;-15 47;slow
L014;GEOTOP;2017;23/05/2016;1;M;1;2016;Non-Mast;spring;84 2;3 18;-23 42;2 61;-23 04;0 6;slow
J080;GEOTOP;2017;24/05/2015;1;F;2;2015;Mast;spring;81 5;3 75;-23 62;3 18;-23 24;-13 27;slow
J048;GEOTOP;2017;24/05/2015;1;M;2;2015;Mast;spring;67;5 39;-23 42;4 82;-23 04;-3 27;slow
J020;GEOTOP;2017;24/05/2015;1;M;2;2015;Mast;spring;86;2 87;-23 01;2 3;-22 63;11 04;inter
J011;GEOTOP;2017;23/05/2016;1;M;3;2016;Non-Mast;spring;85 67;2 89;-22 47;2 32;-22 09;0 46;inter
J019;GEOTOP;2017;26/05/2015;1;F;2;2015;Mast;spring;81;5 35;-24 07;4 78;-23 69;20 79;fast
J007;GEOTOP;2017;27/05/2015;1;F;2;2015;Mast;spring;77;5 62;-23 74;5 05;-23 36;21 68;fast
J057;GEOTOP;2017;27/05/2015;1;F;2;2015;Mast;spring;n/a;2 57;-23 22;2;-22 84;-27 73;slow
J136;GEOTOP;2017;25/05/2016;3;F;3;2016;Non-Mast;spring;79 67;3 17;-23 57;2 6;-23 19;-12 38;slow
J136;GEOTOP;2017;29/05/2015;3;F;2;2015;Mast;spring;n/a;4 05;-23 7;3 48;-23 32;-12 38;slow
J065;GEOTOP;2017;03/06/2015;2;F;1;2015;Mast;spring;71 75;2 93;-23 38;2 36;-23;-21 06;slow
J069;GEOTOP;2017;03/06/2015;2;F;1;2015;Mast;spring;74 6;5 33;-24 24;4 76;-23 86;6 47;fast
L048;GEOTOP;2017;27/05/2016;2;F;1;2016;Non-Mast;spring;83;2 86;-22 62;2 29;-22 24;8 19;fast
L039;GEOTOP;2017;27/05/2016;2;M;1;2016;Non-Mast;spring;80 5;2 83;-22 91;2 26;-22 53;14 05;fast
L049;GEOTOP;2017;27/05/2016;2;F;1;2016;Non-Mast;spring;90;3 16;-23 11;2 59;-22 73;1 26;slow
