Year,Farm,YearFarmNB,masse16,BD,AG,MAX,RN,HD,WT,FDM,Comp.1,Comp.2
2007,1,2007_01_05,22.75,0.84507948,ASY,1.632562801,-1.297772893,0.368465657,-0.57414457,-0.431608191,1.360847608,0.080689682
2007,1,2007_01_05,18.8,0.84507948,ASY,1.632562801,-1.297772893,0.368465657,-0.57414457,-0.431608191,1.360847608,0.080689682
2010,1,2010_01_05,21.81,1.119979783,ASY,-1.448344112,0.692593511,-0.81362671,-0.57414457,0.583058591,2.518344944,1.709280416
2010,1,2010_01_05,22.09,1.119979783,ASY,-1.448344112,0.692593511,-0.81362671,-0.57414457,0.583058591,2.518344944,1.709280416
2010,1,2010_01_05,21.85,1.119979783,ASY,-1.448344112,0.692593511,-0.81362671,-0.57414457,0.583058591,2.518344944,1.709280416
2010,1,2010_01_05,20.98,1.119979783,ASY,-1.448344112,0.692593511,-0.81362671,-0.57414457,0.583058591,2.518344944,1.709280416
2014,1,2014_01_05,20.46,-0.63938216,ASY,-0.59480513,1.494681465,0.171450263,-0.57414457,1.143228337,1.890410036,1.171511361
2008,1,2008_01_05,24.14,-0.034601492,ASY,0.634791537,-0.703633668,-0.419595921,-0.57414457,-0.084292999,2.320150972,0.903748429
2008,1,2008_01_05,20.88,-0.034601492,ASY,0.634791537,-0.703633668,-0.419595921,-0.57414457,-0.084292999,2.320150972,0.903748429
2008,1,2008_01_05,23.2,-0.034601492,ASY,0.634791537,-0.703633668,-0.419595921,-0.57414457,-0.084292999,2.320150972,0.903748429
2008,1,2008_01_05,21.12,-0.034601492,ASY,0.634791537,-0.703633668,-0.419595921,-0.57414457,-0.084292999,2.320150972,0.903748429
2012,1,2012_01_05,20.85,1.834720573,ASY,1.317754441,-1.416600738,-0.81362671,-0.57414457,1.49494138,1.699746906,0.838040612
2013,1,2013_01_05,22.86,-1.409103011,ASY,-1.540152241,0.321256496,-1.601688288,-0.57414457,0.603335495,2.462671894,2.231903148
2010,1,2010_01_05,20.37,1.119979783,ASY,-1.448344112,0.692593511,-0.81362671,-0.57414457,0.583058591,2.518344944,1.709280416
2010,1,2010_01_05,22.61,1.119979783,ASY,-1.448344112,0.692593511,-0.81362671,-0.57414457,0.583058591,2.518344944,1.709280416
2012,1,2012_01_05,20.18,1.834720573,ASY,1.317754441,-1.416600738,-0.81362671,-0.57414457,1.49494138,1.699746906,0.838040612
2012,1,2012_01_05,19.73,1.834720573,ASY,1.317754441,-1.416600738,-0.81362671,-0.57414457,1.49494138,1.699746906,0.838040612
2013,1,2013_01_05,20.13,-1.409103011,ASY,-1.540152241,0.321256496,-1.601688288,-0.57414457,0.603335495,2.462671894,2.231903148
2014,1,2014_01_05,19.51,-0.63938216,ASY,-0.59480513,1.494681465,0.171450263,-0.57414457,1.143228337,1.890410036,1.171511361
2007,1,2007_01_05,20.86,0.84507948,ASY,1.632562801,-1.297772893,0.368465657,-0.57414457,-0.431608191,1.360847608,0.080689682
2014,1,2014_01_05,20.9,-0.63938216,ASY,-0.59480513,1.494681465,0.171450263,-0.57414457,1.143228337,1.890410036,1.171511361
2007,1,2007_01_05,19.93,0.84507948,ASY,1.632562801,-1.297772893,0.368465657,-0.57414457,-0.431608191,1.360847608,0.080689682
2012,1,2012_01_05,16.14,1.834720573,ASY,1.317754441,-1.416600738,-0.81362671,-0.57414457,1.49494138,1.699746906,0.838040612
2007,1,2007_01_05,21.9,0.84507948,ASY,1.632562801,-1.297772893,0.368465657,-0.57414457,-0.431608191,1.360847608,0.080689682
2014,1,2014_01_05,21.03,-0.63938216,ASY,-0.59480513,1.494681465,0.171450263,-0.57414457,1.143228337,1.890410036,1.171511361
2012,1,2012_01_05,18.89,1.834720573,ASY,1.317754441,-1.416600738,-0.81362671,-0.57414457,1.49494138,1.699746906,0.838040612
2008,1,2008_01_05,20.84,-0.034601492,ASY,0.634791537,-0.703633668,-0.419595921,-0.57414457,-0.084292999,2.320150972,0.903748429
2012,1,2012_01_05,19.16,1.834720573,ASY,1.317754441,-1.416600738,-0.81362671,-0.57414457,1.49494138,1.699746906,0.838040612
2012,1,2012_01_05,21.6,1.834720573,ASY,1.317754441,-1.416600738,-0.81362671,-0.57414457,1.49494138,1.699746906,0.838040612
2010,1,2010_01_06,22.29,0.90005954,ASY,-0.306999161,0.365816937,-0.419595921,-0.57414457,0.734700879,2.518344944,1.709280416
2011,1,2011_01_06,20.66,0.90005954,ASY,0.254123688,-0.807608032,0.565481052,-0.57414457,-0.202851571,2.551714255,1.693722891
2016,1,2016_01_06,25.33,-1.134202707,ASY,1.196572981,-1.208652009,2.141604208,-0.57414457,-1.037425795,2.454829477,2.231954541
2012,1,2012_01_06,23.68,-2.178823861,SY,2.304988187,-1.416600738,-0.025565132,-0.57414457,1.172895754,1.699746906,0.838040612
2008,1,2008_01_06,21.26,0.90005954,ASY,0.108574216,-0.688780187,0.368465657,-0.57414457,0.188625084,2.320150972,0.903748429
2008,1,2008_01_06,22.33,0.90005954,ASY,0.108574216,-0.688780187,0.368465657,-0.57414457,0.188625084,2.320150972,0.903748429
2011,1,2011_01_06,20.26,0.90005954,ASY,0.254123688,-0.807608032,0.565481052,-0.57414457,-0.202851571,2.551714255,1.693722891
2011,1,2011_01_06,17.51,0.90005954,ASY,0.254123688,-0.807608032,0.565481052,-0.57414457,-0.202851571,2.551714255,1.693722891
2010,1,2010_01_06,20.6,0.90005954,ASY,-0.306999161,0.365816937,-0.419595921,-0.57414457,0.734700879,2.518344944,1.709280416
2010,1,2010_01_06,20.54,0.90005954,ASY,-0.306999161,0.365816937,-0.419595921,-0.57414457,0.734700879,2.518344944,1.709280416
2008,1,2008_01_06,23.52,0.90005954,ASY,0.108574216,-0.688780187,0.368465657,-0.57414457,0.188625084,2.320150972,0.903748429
2008,1,2008_01_06,21.68,0.90005954,ASY,0.108574216,-0.688780187,0.368465657,-0.57414457,0.188625084,2.320150972,0.903748429
2010,1,2010_01_06,19.88,0.90005954,ASY,-0.306999161,0.365816937,-0.419595921,-0.57414457,0.734700879,2.518344944,1.709280416
2016,1,2016_01_06,22.4,-1.134202707,ASY,1.196572981,-1.208652009,2.141604208,-0.57414457,-1.037425795,2.454829477,2.231954541
2011,1,2011_01_06,19.85,0.90005954,ASY,0.254123688,-0.807608032,0.565481052,-0.57414457,-0.202851571,2.551714255,1.693722891
