Year,Farm,FarmNB,noisnes,noisenvol,HD,AG,NN,MAX,RN,WT,FDM,Comp.1,Comp.2
2016,36,36_10,5,0,-1.371162312,ASY,0.132036729,-1.6362675,-0.309754475,0.47978652,0.500317542,2.583195863,-0.354075518
2008,36,36_10,2,0,2.619311463,ASY,-2.22351508,1.245096149,-0.868242855,0.47978652,0.503083037,2.601189186,0.532200539
2006,36,36_10,2,2,1.578318304,ASY,-2.22351508,0.415304907,0.614289934,0.47978652,-0.092802388,2.654267957,0.620618762
2016,37,37_01,5,4,1.578318304,SY,0.132036729,1.605968902,-0.817471184,-0.034099587,-0.784281862,2.328825379,-0.286881652
2010,37,37_01,4,0,1.404819445,SY,-0.653147207,0.830920833,0.248733904,-0.034099587,3.257638633,2.311743427,0.57407817
2015,37,37_01,6,3,-0.677166873,ASY,0.917220666,-0.44473914,1.298015101,-0.034099587,-0.135216489,2.632475012,0.1370667
2012,37,37_02,4,4,-0.503668013,ASY,-0.653147207,1.33801548,-1.003633977,-0.010340524,3.226150373,2.461775358,1.386237483
2006,37,37_02,4,2,1.404819445,SY,-0.653147207,1.335854566,1.216780427,-0.010340524,0.479235315,2.229372909,0.012338293
2013,37,37_02,5,5,0.190327426,ASY,0.132036729,-0.348074223,0.130266672,-0.010340524,-0.243046501,2.436229417,0.636181869
2008,37,37_02,5,5,3.139808043,ASY,0.132036729,1.433816032,0.214886123,-0.010340524,3.284370426,2.286689377,0.903402712
2009,37,37_02,6,6,-0.850665733,ASY,0.917220666,-0.390716272,-0.478993378,-0.010340524,1.143515381,2.310914996,0.533727303
2011,37,37_02,5,4,1.925316024,ASY,0.132036729,-0.032724739,0.722602831,-0.010340524,0.676606336,2.39995204,1.272893505
2007,37,37_03,6,6,-0.330169153,ASY,0.917220666,1.739945613,-1.511350685,0.004610669,-0.037118448,2.310532553,0.53379371
2014,37,37_03,5,5,-0.156670294,ASY,0.132036729,-0.90069214,1.24724343,0.004610669,0.076166967,2.715881672,0.989877911
2016,37,37_03,6,0,-0.503668013,ASY,0.917220666,-1.205381111,0.536440038,0.004610669,-0.302830657,2.328825379,-0.286881652
2006,37,37_03,5,3,-0.677166873,ASY,0.132036729,-0.392877187,1.998664158,0.004610669,0.193360285,2.229372909,0.012338293
2015,37,37_03,5,4,-1.024164593,ASY,0.132036729,-0.624815364,0.451820587,0.004610669,-0.135489538,2.632475012,0.1370667
2013,37,37_04,5,4,0.190327426,SY,0.132036729,-0.348074223,0.130266672,0.057233467,-0.243046501,2.436229417,0.636181869
2010,37,37_04,3,3,-0.677166873,ASY,-1.438331144,0.179044901,0.164114452,0.057233467,2.627877577,2.311743427,0.57407817
2016,37,37_04,7,0,-0.503668013,ASY,1.702404603,-1.205381111,0.536440038,0.057233467,-0.302830657,2.328825379,-0.286881652
2014,37,37_04,6,6,0.190327426,ASY,0.917220666,-0.65362756,1.23031954,0.057233467,0.128728245,2.715881672,0.989877911
2009,37,37_04,5,5,-0.850665733,ASY,0.132036729,-0.390716272,-0.478993378,0.057233467,1.143515381,2.310914996,0.533727303
2007,37,37_04,2,2,2.792810323,ASY,-2.22351508,0.191290084,-0.157439463,0.057233467,11.1279301,2.310532553,0.53379371
2006,37,37_04,4,4,1.057821725,ASY,-0.653147207,1.263824076,0.65490727,0.057233467,0.441769763,2.229372909,0.012338293
2009,37,37_05,5,5,-0.850665733,ASY,0.132036729,-0.390716272,-0.478993378,0.071238069,1.143515381,2.310914996,0.533727303
2012,37,37_05,5,5,-0.850665733,ASY,0.132036729,0.980023946,-0.935938416,0.071238069,3.101802097,2.461775358,1.386237483
2010,37,37_05,5,3,0.016828566,ASY,0.132036729,1.186751452,-0.225135024,0.071238069,3.13329505,2.311743427,0.57407817
2013,37,37_05,5,5,0.537325146,ASY,0.132036729,0.191794298,-0.343602256,0.071238069,-0.203145077,2.436229417,0.636181869
2014,37,37_05,4,4,-0.850665733,ASY,-0.653147207,-0.324448222,0.570287819,0.071238069,-0.024086186,2.715881672,0.989877911
2008,37,37_05,6,6,-0.330169153,ASY,0.917220666,1.253739807,-0.868242855,0.071238069,0.309106536,2.286689377,0.903402712
2015,37,37_05,5,5,-0.330169153,ASY,0.132036729,-0.408723895,1.196471759,0.071238069,-0.134943365,2.632475012,0.1370667
2012,37,37_06,4,4,-0.503668013,ASY,-0.653147207,1.33801548,-1.003633977,0.079757696,3.226150373,2.461775358,1.386237483
2009,37,37_06,5,5,-1.197663452,ASY,0.132036729,-0.518930544,-0.529765049,0.079757696,0.975058752,2.310914996,0.533727303
2014,37,37_06,6,6,-0.156670294,ASY,0.917220666,-0.90069214,1.24724343,0.079757696,0.076166967,2.715881672,0.989877911
2015,37,37_06,6,6,-0.677166873,ASY,0.917220666,-0.44473914,1.298015101,0.079757696,-0.135216489,2.632475012,0.1370667
2011,37,37_06,4,3,0.884322865,ASY,-0.653147207,0.866936078,0.553363929,0.079757696,0.654168162,2.39995204,1.272893505
2016,37,37_06,5,0,-0.850665733,ASY,0.132036729,-1.925686008,0.705678941,0.079757696,-0.196985846,2.328825379,-0.286881652
2013,37,37_07,5,4,1.925316024,SY,0.132036729,0.335711216,0.02872333,0.089422822,-0.55041412,2.436229417,0.636181869
2008,37,37_07,5,5,-0.677166873,ASY,0.132036729,1.001633093,-1.105177318,0.089422822,0.139916493,2.286689377,0.903402712
2014,37,37_07,6,3,0.537325146,ASY,0.917220666,-0.184709072,0.570287819,0.089422822,0.182982697,2.715881672,0.989877911
2011,37,37_07,4,4,0.190327426,ASY,-0.653147207,0.938966567,-1.494426795,0.089422822,0.639334963,2.39995204,1.272893505
2016,37,37_07,6,0,-0.503668013,ASY,0.917220666,-1.205381111,0.536440038,0.089422822,-0.302830657,2.328825379,-0.286881652
2006,37,37_07,5,5,1.057821725,ASY,0.132036729,1.263824076,0.65490727,0.089422822,0.441769763,2.229372909,0.012338293
2010,37,37_07,1,1,-0.330169153,ASY,-3.008699017,0.898629493,-0.529765049,0.089422822,2.945666957,2.311743427,0.57407817
2007,37,37_07,5,5,0.016828566,ASY,0.132036729,1.307762675,-1.511350685,0.089422822,0.76649537,2.310532553,0.53379371
2012,37,37_07,3,3,-0.503668013,ASY,-1.438331144,1.33801548,-1.003633977,0.089422822,3.226150373,2.461775358,1.386237483
2015,37,37_07,5,5,0.016828566,ASY,0.132036729,-0.156617181,0.417972806,0.089422822,-0.134670053,2.632475012,0.1370667
2016,37,37_08,5,0,-0.850665733,ASY,0.132036729,-1.925686008,0.705678941,0.099029113,-0.196985846,2.328825379,-0.286881652
2015,37,37_08,4,4,-1.718160032,ASY,-0.653147207,-1.849333689,0.942613405,0.099029113,-0.136035744,2.632475012,0.1370667
2008,37,37_08,6,0,-1.371162312,ASY,0.917220666,-0.366946211,-0.699003952,0.099029113,-0.153503194,2.286689377,0.903402712
2007,37,37_08,4,4,-0.677166873,SY,-0.653147207,0.768254307,-1.155948989,0.099029113,-0.444118895,2.310532553,0.53379371
2010,37,37_08,6,3,-0.677166873,ASY,0.917220666,0.179044901,0.164114452,0.099029113,2.627877577,2.311743427,0.57407817
2012,37,37_08,4,0,1.231320585,SY,-0.653147207,1.490720118,-0.56361283,0.099029113,0.65265359,2.461775358,1.386237483
2014,37,37_08,4,3,0.537325146,ASY,-0.653147207,-0.184709072,0.570287819,0.099029113,0.182982697,2.715881672,0.989877911
2016,37,37_09,6,0,-1.197663452,ASY,0.917220666,-1.854375823,1.162623979,0.100588251,-0.082105948,2.328825379,-0.286881652
2013,37,37_09,4,4,2.272313744,ASY,-0.653147207,0.947610226,0.01179944,0.100588251,-0.706559324,2.436229417,0.636181869
2010,37,37_09,5,5,-0.677166873,SY,0.132036729,0.179044901,0.164114452,0.100588251,2.627877577,2.311743427,0.57407817
2008,37,37_09,4,4,-0.677166873,ASY,-0.653147207,1.001633093,-1.105177318,0.100588251,0.139916493,2.286689377,0.903402712
2014,37,37_09,7,7,-0.156670294,ASY,1.702404603,-0.90069214,1.24724343,0.100588251,0.076166967,2.715881672,0.989877911
2006,37,37_09,5,5,-1.371162312,ASY,0.132036729,-1.077166839,2.489456976,0.100588251,0.078180014,2.229372909,0.012338293
2009,37,37_09,5,5,-0.850665733,ASY,0.132036729,-0.390716272,-0.478993378,0.100588251,1.143515381,2.310914996,0.533727303
2007,37,37_09,5,5,-0.677166873,ASY,0.132036729,0.768254307,-1.155948989,0.100588251,-0.444118895,2.310532553,0.53379371
2015,37,37_09,5,5,-1.718160032,ASY,0.132036729,-1.849333689,0.942613405,0.100588251,-0.136035744,2.632475012,0.1370667
2010,37,37_10,4,4,0.363826286,ASY,-0.653147207,1.443179995,-0.225135024,0.093400947,3.210475301,2.311743427,0.57407817
2014,37,37_10,6,0,-0.503668013,ASY,0.917220666,-0.108356753,1.24724343,0.093400947,0.025245732,2.715881672,0.989877911
2012,37,37_10,5,4,-0.156670294,ASY,0.132036729,1.708972502,-1.003633977,0.093400947,3.061007307,2.461775358,1.386237483
2015,37,37_10,6,6,-0.330169153,ASY,0.917220666,-0.408723895,1.196471759,0.093400947,-0.134943365,2.632475012,0.1370667
2007,37,37_10,5,4,0.016828566,ASY,0.132036729,1.307762675,-1.511350685,0.093400947,0.76649537,2.310532553,0.53379371
2008,37,37_10,6,6,-0.330169153,ASY,0.917220666,1.253739807,-0.868242855,0.093400947,0.309106536,2.286689377,0.903402712
2011,37,37_10,3,0,0.190327426,ASY,-1.438331144,0.938966567,-1.494426795,0.093400947,0.639334963,2.39995204,1.272893505
2007,38,38_01,3,3,1.404819445,ASY,-1.438331144,0.360561735,0.367201136,-0.758579415,0.922334371,-0.004767208,1.476861456
2010,38,38_01,6,0,-0.677166873,ASY,0.917220666,-0.148693827,-0.59746061,-0.758579415,0.150341937,-0.394733801,1.098973917
2014,38,38_01,6,6,-0.850665733,ASY,0.917220666,-0.345337064,0.739526722,-0.758579415,-0.616640597,-0.134427374,1.367378122
2008,38,38_01,5,5,-1.024164593,ASY,0.132036729,0.28925155,-0.58053672,-0.758579415,-0.079813081,-0.095603904,1.35713027
2012,38,38_01,5,5,-0.850665733,ASY,0.132036729,0.992989435,-1.139025099,-0.758579415,-0.115331684,-0.358252063,1.111384286
2011,38,38_01,5,5,-0.156670294,ASY,0.132036729,0.119259595,-1.071329538,-0.758579415,0.196171591,-0.413329018,1.077669507
2012,38,38_02,3,3,-1.197663452,SY,-1.438331144,0.127903253,-0.495917268,-0.758579415,0.01252839,-0.358252063,1.111384286
2016,38,38_02,6,4,-0.503668013,ASY,0.917220666,-1.201059282,-0.157439463,-0.758579415,-0.327796865,-0.128252676,1.351410671
2015,38,38_02,4,4,-0.677166873,ASY,-0.653147207,-0.30067816,1.111852308,-0.758579415,0.228962958,-0.143047791,1.337348665
2014,38,38_02,5,5,-0.156670294,SY,0.132036729,-0.957596226,1.298015101,-0.758579415,-0.348644161,-0.134427374,1.367378122
2006,38,38_03,5,5,-0.330169153,ASY,0.132036729,-0.160218705,2.959941126,-0.765305544,0.180473694,-0.024611084,1.456129782
2010,38,38_03,6,0,-0.330169153,ASY,0.917220666,0.689020768,-1.477502904,-0.765305544,0.286922927,-0.394733801,1.098973917
