variable	CEN	LAB	NW	SW	all	rank_all
pcp_oct	0.022495058	0.017900424	0.066945941	0.019832765	0.020928822	6
ndvi_jul	0.007551414	0.008522417	0.010333415	-0.002361701	0.007646464	12
ndvi_aug	0.00045221	0.020662967	0.058286037	0.030053364	0.019705	7
ndvi_sep	0.002245679	0.009544496	0.013145831	0.012726891	0.008739215	11
ndvi_oct	0.004818963	0.02567364	0.066548292	0.075490477	0.027650627	3
popRFH	0.018291924	0.026063642	0.121724193	0.023280579	0.028829159	2
popRGH	0.028708831	0.036366826	0.15313206	0.0500682	0.041284214	1
st_sep	0.001873964	0.011093192	0.061963999	0.013499393	0.012004625	9
st_oct	0.041326523	0.017172693	0.068371296	0.047548494	0.025575802	5
swe_sep	0.005028567	0.010228617	0.031534706	0.017581901	0.010838636	10
swe_oct	0.014252273	0.016236718	0.027414768	0.012244083	0.016115255	8
pcp_sep	0.025742569	0.026266092	0.031142541	0.019867293	0.025909131	4
pcp_oct	0.021428358	0.017353404	0.067818054	0.019004793	0.020359632	7
ndvi_jul	0.007421718	0.008714798	0.011680473	-0.003246716	0.007767036	12
ndvi_aug	0.001357175	0.023780743	0.059207695	0.027414386	0.021904378	6
ndvi_sep	0.002517213	0.01009338	0.015074158	0.011093097	0.009143257	11
ndvi_oct	0.007318118	0.024523616	0.070341128	0.072103915	0.027114486	3
popRFH	0.017428497	0.027378734	0.157744677	0.02268634	0.031138574	2
popRGH	0.035564909	0.035771189	0.090636937	0.057349095	0.03969352	1
st_sep	0.001945174	0.009817979	0.058297185	0.015022155	0.011050009	9
st_oct	0.041313765	0.017380264	0.067639326	0.047192543	0.025638267	5
swe_sep	0.00569556	0.009836861	0.026731861	0.015965957	0.010337881	10
swe_oct	0.015296977	0.015902716	0.030984753	0.014261917	0.016308909	8
pcp_sep	0.02654994	0.026388733	0.028359894	0.020350238	0.026072348	4
pcp_oct	0.021181322	0.017927866	0.06081994	0.016059911	0.020220442	7
ndvi_jul	0.006351109	0.009173231	0.009093702	-0.002042316	0.007886818	12
ndvi_aug	-0.001174326	0.02290749	0.062015022	0.03046144	0.02122075	6
ndvi_sep	0.001883407	0.009127683	0.015097529	0.01431497	0.00857705	11
ndvi_oct	0.005355747	0.02444879	0.068441302	0.074678769	0.026890972	3
popRFH	0.015542739	0.027509803	0.158910916	0.02317228	0.031048259	2
popRGH	0.035938463	0.037224335	0.112633049	0.060255135	0.041900063	1
st_sep	0.001374565	0.010654724	0.063727768	0.016082924	0.011902237	9
st_oct	0.043805627	0.018511113	0.073941552	0.048849226	0.027306808	2
swe_sep	0.006709896	0.010050951	0.029224905	0.01590989	0.010742058	10
swe_oct	0.012583966	0.015776033	0.026545592	0.013563459	0.01556177	8
pcp_sep	0.028322695	0.027327667	0.03260736	0.016965482	0.026919245	4
pcp_oct	0.022575455	0.01781228	0.064744571	0.01850513	0.020735063	6
ndvi_jul	0.007589633	0.009750063	0.010773639	-0.001844061	0.008592523	12
ndvi_aug	-0.000633863	0.021451682	0.060743988	0.029612475	0.020171222	7
ndvi_sep	0.002372409	0.009542188	0.010198864	0.013765032	0.008708846	11
ndvi_oct	0.004763643	0.024753763	0.067354518	0.076307955	0.027057262	3
popRFH	0.014427652	0.022077442	0.118389262	0.021781882	0.025061355	5
popRGH	0.030453761	0.036414432	0.161885748	0.049849613	0.041935808	1
st_sep	0.001942066	0.010713148	0.062403603	0.016385444	0.011954546	9
st_oct	0.043409039	0.017127801	0.066710419	0.04990909	0.025980877	4
swe_sep	0.004538722	0.010835527	0.029678527	0.01643464	0.011033681	10
swe_oct	0.011904215	0.017280514	0.025130816	0.017164867	0.016741474	8
pcp_sep	0.027297475	0.026217125	0.028507884	0.019460516	0.025956567	5
pcp_oct	0.022507762	0.017931104	0.060027658	0.019122442	0.020614713	6
ndvi_jul	0.006525712	0.008412252	0.008605311	-0.000703234	0.00741471	12
ndvi_aug	-0.000813573	0.022593756	0.055986875	0.027549408	0.02058976	7
ndvi_sep	0.000742899	0.008514236	0.009729787	0.013520401	0.007648118	11
ndvi_oct	0.004863936	0.027311127	0.062781532	0.076389762	0.028723993	2
popRFH	0.016853352	0.024494517	0.116005614	0.023969763	0.027292747	3
popRGH	0.028431216	0.036286174	0.15139608	0.048997589	0.040998218	1
st_sep	0.002255731	0.009730916	0.055693506	0.016552687	0.01103772	9
st_oct	0.040042089	0.016829686	0.062513441	0.046967137	0.024841023	5
swe_sep	0.006204041	0.010229934	0.028872902	0.016302543	0.010826559	10
swe_oct	0.013185108	0.01574852	0.032054793	0.013010877	0.015851565	8
pcp_sep	0.026064206	0.026239586	0.02917823	0.019717082	0.025868537	4
pcp_oct	0.023859412	0.016792537	0.058444668	0.016807327	0.019787319	6
ndvi_jul	0.007705081	0.009328357	0.009924712	-0.00294045	0.008214481	12
ndvi_aug	-0.000203127	0.020528813	0.059529975	0.030906758	0.019601331	7
ndvi_sep	0.002161929	0.009470788	0.013304065	0.016659335	0.008942228	11
ndvi_oct	0.001748661	0.026763495	0.074624246	0.079610848	0.02852493	3
popRFH	0.015180956	0.027457	0.156470144	0.024045922	0.030939984	2
popRGH	0.034281954	0.03597747	0.102454506	0.057398812	0.040196388	1
st_sep	0.000490456	0.010119252	0.069051695	0.014889665	0.011497065	9
st_oct	0.041309357	0.018301115	0.066056518	0.046174488	0.026222226	5
swe_sep	0.003929304	0.009564945	0.030230103	0.013966898	0.009852547	10
swe_oct	0.013422656	0.017386068	0.027873673	0.009983268	0.016655217	8
pcp_sep	0.027058679	0.026878045	0.032062571	0.019083535	0.026553943	4
pcp_oct	0.023638915	0.018280482	0.059416926	0.014896554	0.020700043	7
ndvi_jul	0.005333789	0.007555447	0.008248351	-0.00285084	0.006465811	12
ndvi_aug	1.44E-05	0.02326484	0.059218109	0.030577906	0.021551075	6
ndvi_sep	0.001665408	0.00960206	0.01068288	0.010217943	0.008378829	11
ndvi_oct	0.004405903	0.026258213	0.071267709	0.071343154	0.027866679	3
popRFH	0.016216128	0.025824061	0.147239638	0.022001908	0.029313899	2
popRGH	0.032597983	0.037825398	0.121549572	0.052477801	0.041697329	1
st_sep	0.002171087	0.010240375	0.062532805	0.013659907	0.011454402	9
st_oct	0.040973292	0.017445393	0.069763866	0.046669597	0.025726708	4
swe_sep	0.005447177	0.009463586	0.028261049	0.013276554	0.009922896	10
swe_oct	0.011952127	0.015689314	0.030663995	0.013043848	0.015526733	8
pcp_sep	0.028006249	0.024982174	0.030072577	0.019303416	0.025285063	5
pcp_oct	0.022928564	0.016284584	0.062875552	0.015923903	0.019391881	7
ndvi_jul	0.007967811	0.008696536	0.011359514	-0.002767853	0.007857546	12
ndvi_aug	-3.73E-05	0.020825323	0.060607296	0.029727294	0.019775578	6
ndvi_sep	0.004497248	0.00857271	0.017024374	0.013915312	0.008660398	11
ndvi_oct	0.003882218	0.02489123	0.071412713	0.074053398	0.027003308	3
popRFH	0.015165436	0.027368398	0.155089338	0.023839069	0.030759963	2
popRGH	0.038515107	0.034407616	0.10961232	0.057056542	0.040018138	1
st_sep	0.002412199	0.011074245	0.062705096	0.013512231	0.012111162	9
st_oct	0.039794629	0.018455365	0.069082677	0.047110954	0.026269791	5
swe_sep	0.006162294	0.010376184	0.028469866	0.018085515	0.011030276	10
swe_oct	0.013471232	0.016455571	0.028039928	0.016743783	0.016528764	8
pcp_sep	0.027167095	0.026943541	0.032680846	0.020031348	0.026719193	4
pcp_oct	0.022853621	0.018698518	0.063200521	0.017356607	0.021272161	6
ndvi_jul	0.007124506	0.008672902	0.008121341	-0.003116299	0.007524639	12
ndvi_aug	0.001224941	0.022368229	0.057433973	0.029672393	0.020967251	7
ndvi_sep	0.002264378	0.009001607	0.012673774	0.013332461	0.008372709	11
ndvi_oct	0.006857875	0.024118965	0.06500973	0.07520938	0.026738854	3
popRFH	0.017157486	0.025238356	0.122697315	0.026483615	0.028323319	2
popRGH	0.030618371	0.036417477	0.155125978	0.050591387	0.041701478	1
st_sep	0.003255322	0.009747206	0.057723729	0.013410935	0.011084822	9
st_oct	0.041062651	0.017696245	0.062882011	0.045325999	0.025525973	5
swe_sep	0.005092781	0.009461546	0.025896226	0.014810696	0.009880652	10
swe_oct	0.014900684	0.015933479	0.030385938	0.012811047	0.016163853	8
pcp_sep	0.027523195	0.025721088	0.030963027	0.018999295	0.025741615	4
pcp_oct	0.023730372	0.016667501	0.060951533	0.01801815	0.019902218	6
ndvi_jul	0.00704146	0.009138385	0.00748978	-0.004100041	0.007747134	12
ndvi_aug	-0.000635946	0.021305989	0.058769408	0.027669089	0.01981819	7
ndvi_sep	0.001820897	0.009325751	0.011400211	0.01223222	0.00839196	11
ndvi_oct	0.007083899	0.025088529	0.070329786	0.074690301	0.027674671	3
popRFH	0.015914585	0.027502511	0.159692744	0.021425018	0.031060024	2
popRGH	0.034635611	0.0380001	0.105765626	0.056419515	0.041757185	1
st_sep	0.003415515	0.01096397	0.059405111	0.01321583	0.012085229	9
st_oct	0.039365111	0.017153467	0.066583963	0.048292013	0.025239726	5
swe_sep	0.006690167	0.010037246	0.031813925	0.0154336	0.010828932	10
swe_oct	0.013996212	0.016058836	0.029020733	0.015076229	0.016239609	8
pcp_sep	0.027209314	0.02566577	0.033170394	0.01955102	0.025816797	4
pcp_oct	0.022559093	0.017040935	0.061403777	0.019533168	0.020097364	6
ndvi_jul	0.005742551	0.009295502	0.010940192	-0.003522881	0.007856999	12
ndvi_aug	-0.000894868	0.020511878	0.063194629	0.027944502	0.019423808	7
ndvi_sep	0.001800119	0.008628313	0.014045336	0.011922551	0.007984135	11
ndvi_oct	0.006192312	0.026009936	0.072106148	0.077587471	0.028466067	3
popRFH	0.015298509	0.026405066	0.155086057	0.023758796	0.030130726	2
popRGH	0.035341376	0.037080494	0.10303641	0.057514099	0.041115561	1
st_sep	0.002579449	0.010700669	0.058826768	0.016632065	0.011948014	9
st_oct	0.042067746	0.016271194	0.069111977	0.047520252	0.025098117	5
swe_sep	0.005378182	0.009182203	0.029443112	0.014931331	0.009873035	10
swe_oct	0.013497766	0.015829321	0.032961694	0.013460711	0.016041693	8
pcp_sep	0.027182291	0.026472702	0.030821783	0.020618854	0.026332478	4
pcp_oct	0.022990165	0.019314485	0.065268003	0.019253515	0.021944747	6
ndvi_jul	0.006182107	0.008580182	0.009128346	-0.002354855	0.007427077	12
ndvi_aug	0.000178576	0.021925572	0.058469409	0.030226036	0.020541189	7
ndvi_sep	0.002067685	0.008760938	0.010049706	0.013623086	0.008099084	11
ndvi_oct	0.004216131	0.024183265	0.067920129	0.079356249	0.026786481	3
popRFH	0.017672066	0.027607089	0.159914714	0.022681549	0.031523453	2
popRGH	0.037056755	0.035572063	0.10826099	0.058810373	0.0406705	1
st_sep	0.001107967	0.009898632	0.065702019	0.016450243	0.01137408	10
st_oct	0.041247457	0.017393032	0.068326118	0.050300908	0.025912058	4
swe_sep	0.005721422	0.011213192	0.029617801	0.016483545	0.011492509	9
swe_oct	0.014120653	0.016310671	0.028242056	0.015485543	0.01643064	8
pcp_sep	0.027094144	0.025905866	0.029270577	0.019607208	0.025751307	5
pcp_oct	0.023543694	0.017810923	0.061233068	0.018974095	0.02072415	7
ndvi_jul	0.008399259	0.008614999	0.010594338	-0.001969245	0.007898555	12
ndvi_aug	-0.000145085	0.022269873	0.057923415	0.032125997	0.020864152	6
ndvi_sep	0.002843943	0.009962471	0.012817156	0.012643164	0.009119806	11
ndvi_oct	0.00350605	0.026060808	0.065029393	0.072857314	0.02742674	3
popRFH	0.017327007	0.02646528	0.142696412	0.017671292	0.029458422	2
