Year,Farm,FarmNB,dur,HD,AG,NN,MAX,RN,WT,FDM,Comp.1,Comp.2
2008,40,40_02,23.5,2.01656429,ASY,-1.540263861,0.18064648,-0.332027331,-0.230142486,-0.875077033,-1.206328609,-0.34369626
2012,40,40_02,17.5,-0.088296936,ASY,-0.721176175,1.486295365,-1.393063556,-0.230142486,-1.073698748,-0.995944649,-0.183190972
2006,40,40_02,17.5,0.677107146,ASY,-1.540263861,0.77175783,0.234827639,-0.230142486,-0.679646714,-0.32617642,0.855696613
2010,40,40_02,19.5,-1.236403059,ASY,0.916999195,-2.62613168,0.278431868,-0.230142486,-1.196172439,-0.722632548,-0.121420161
2009,40,40_02,21.5,-1.42775408,ASY,0.916999195,-1.24375841,-0.491909502,-0.230142486,-0.889015544,-0.788453838,-0.137962028
2006,40,40_03,17.5,2.20791531,ASY,-2.359351546,0.37145669,0.865635478,-0.22851759,-0.614879439,-0.32617642,0.855696613
2015,40,40_03,21.5,0.294405105,ASY,-0.721176175,-0.578591349,-1.3058551,-0.22851759,0.019230116,-0.671767202,0.05113957
2007,40,40_03,15.5,0.485756125,ASY,0.916999195,0.885176487,-0.666326416,-0.22851759,0.344099893,-3.103508894,-0.242445593
2010,40,40_03,21.5,-0.853701018,ASY,-1.540263861,-2.530059407,0.278431868,-0.22851759,-1.12350224,-0.722632548,-0.121420161
2009,40,40_03,17.5,-0.662349998,ASY,-1.540263861,-1.343833695,-0.43377053,-0.22851759,-0.892084181,-0.788453838,-0.137962028
2008,40,40_03,21.5,0.868458166,ASY,0.09791151,-0.06153571,-0.332027331,-0.22851759,-0.845854169,-1.206328609,-0.34369626
