farm;nest;year;idbrood;n_fledglings;date_fledgling;recruits;mean_mass;total_fledgling;density.nnich;density.hosp;mean_ext5km;male;female;sex_ratio;ENSO_mo;ENSO_mb
22;03;2004;220320041;5;184;0;;19;7;0;29.10460824;;;;-0.233333333;-0.15
22;06;2004;220620041;4;184;0;;19;7;0;28.80386354;;;;-0.233333333;-0.15
22;07;2004;220720041;5;184;0;;19;7;0;28.75851314;;;;-0.233333333;-0.15
23;01;2004;230120041;6;184;0;;18;6;0;31.699128;;;;-0.233333333;-0.15
23;02;2004;230220041;5;176;0;;18;6;0;31.79539813;;;;-0.233333333;-0.15
23;07;2004;230720041;5;198;0;;18;6;0;32.63477818;;;;-0.233333333;-0.15
23;09;2004;230920041;2;203;0;22;18;6;0;32.95939151;;;;-0.233333333;-0.15
24;01;2004;240120041;5;183;0;;29;9;0;16.34841831;;;;-0.233333333;-0.15
24;03;2004;240320041;5;180;0;22.72;29;9;0;16.31738909;;;;-0.233333333;-0.15
24;05;2004;240520041;6;176;0;;29;9;0;16.25612628;;;;-0.233333333;-0.15
24;07;2004;240720042;3;195;0;;29;9;0;16.27362994;;;;-0.233333333;-0.15
24;08;2004;240820041;5;180;0;18.76;29;9;0;16.28795112;;;;-0.233333333;-0.15
24;10;2004;241020041;5;183;0;;29;9;0;16.40013366;;;;-0.233333333;-0.15
25;01;2004;250120042;5;204;0;;7;6;3;10.54197696;;;;-0.233333333;-0.15
25;08;2004;250820041;2;187;0;;7;6;3;10.53720323;;;;-0.233333333;-0.15
26;01;2004;260120041;4;173;0;;29;10;0;16.33727961;;;;-0.233333333;-0.15
26;02;2004;260220041;3;202;0;;29;10;0;16.54971039;;;;-0.233333333;-0.15
26;04;2004;260420041;4;180;0;;29;10;0;16.84806823;;;;-0.233333333;-0.15
26;05;2004;260520041;6;169;0;;29;10;0;16.94831647;;;;-0.233333333;-0.15
26;06;2004;260620042;2;204;0;22.55;29;10;0;17.0334479;;;;-0.233333333;-0.15
26;07;2004;260720041;6;173;0;;29;10;0;16.98173254;;;;-0.233333333;-0.15
26;08;2004;260820041;4;177;0;;29;10;0;16.89103176;;;;-0.233333333;-0.15
26;10;2004;261020041;4;180;0;22.8;29;10;0;16.84090764;;;;-0.233333333;-0.15
27;01;2004;270120041;4;190;0;;15;7;1;12.79756222;;;;-0.233333333;-0.15
27;03;2004;270320041;2;180;0;;15;7;1;12.88030679;;;;-0.233333333;-0.15
27;09;2004;270920041;6;177;1;;15;7;1;12.91372287;1;;;-0.233333333;-0.15
27;10;2004;271020041;3;177;0;;15;7;1;12.34803641;;;;-0.233333333;-0.15
28;03;2004;280320041;4;181;0;;15;7;1;16.62688562;;;;-0.233333333;-0.15
28;05;2004;280520041;4;175;0;;15;7;1;16.5879002;;;;-0.233333333;-0.15
28;07;2004;280720041;3;194;0;;15;7;1;16.57198778;;;;-0.233333333;-0.15
28;09;2004;280920041;4;177;0;;15;7;1;16.61415569;;;;-0.233333333;-0.15
29;01;2004;290120041;6;176;1;;24;6;0;37.40611673;1;;;-0.233333333;-0.15
29;02;2004;290220041;5;184;0;;24;6;0;37.42521164;;;;-0.233333333;-0.15
29;05;2004;290520041;4;176;1;;24;6;0;37.67344536;;1;;-0.233333333;-0.15
29;08;2004;290820041;3;196;1;20.96666667;24;6;0;37.73073006;1;;;-0.233333333;-0.15
29;10;2004;291020041;6;182;0;;24;6;0;37.69890523;;;;-0.233333333;-0.15
