variable	NW	SHIFT	SW	all	rank_all
ndvi_jul	0.002152168	0.013245428	0.003329886	0.003726235	12
ndvi_aug	0.042698121	0.034652834	0.007264723	0.012377083	4
ndvi_sep	0.029309751	0.012591834	0.005982884	0.008744711	5
ndvi_oct	0.026363218	0.022056781	0.011695732	0.01376704	3
popRFH	0.128862242	0.091213068	0.034104957	0.046904039	2
popRGH	0.263460775	0.325609838	0.105097957	0.133233257	1
st_sep	0.007496153	-0.000679717	0.008880229	0.0081986	6
st_oct	0.023121953	0.032202393	0.00344714	0.007031384	7
swe_sep	0.002773507	0.020290001	0.00308775	0.0040015	11
swe_oct	0.033957925	0.00722974	0.003560147	0.006852415	8
pcp_sep	0.015768408	0.000612847	0.002989399	0.004150565	10
pcp_oct	0.003229707	-0.000830896	0.005022855	0.004501815	9
ndvi_jul	0.001928764	0.014498828	0.002426278	0.00306107	12
ndvi_aug	0.04501292	0.038912569	0.006928668	0.012574054	4
ndvi_sep	0.029617251	0.014468233	0.005507171	0.008467543	5
ndvi_oct	0.027621695	0.025767292	0.011767614	0.014187939	3
popRFH	0.12272859	0.081831236	0.034880304	0.046388885	2
popRGH	0.254659401	0.331072464	0.110884001	0.137513627	1
st_sep	0.008219998	-0.000311265	0.009240262	0.008624967	5
st_oct	0.025899442	0.032724783	0.004875299	0.008529384	6
swe_sep	0.002543065	0.018796248	0.003129598	0.00390681	11
swe_oct	0.038300081	0.00708236	0.004692381	0.008227095	8
pcp_sep	0.016779623	0.002273937	0.003721131	0.004992075	9
pcp_oct	0.001968076	-0.003139884	0.005158627	0.004387822	10
ndvi_jul	0.00313693	0.01369749	0.003307219	0.003872744	12
ndvi_aug	0.045431183	0.03598365	0.009580994	0.014703627	3
ndvi_sep	0.029242077	0.014447377	0.005317726	0.008279608	7
ndvi_oct	0.02678835	0.024360415	0.010653526	0.013067726	4
popRFH	0.082173694	0.131035527	0.02716599	0.038469315	2
popRGH	0.281556548	0.328151832	0.095724421	0.127251264	1
st_sep	0.00767858	-0.000506483	0.009903998	0.00910164	5
st_oct	0.020481031	0.02796793	0.003459555	0.006539544	8
swe_sep	0.003533465	0.019300064	0.00298464	0.003927471	10
swe_oct	0.0349043	0.010388953	0.004198865	0.007672386	7
pcp_sep	0.013704405	-0.000846669	0.003009746	0.003893458	11
pcp_oct	0.002012734	-0.001957148	0.005619802	0.004831319	9
ndvi_jul	0.001049565	0.013429167	0.002976475	0.003352098	12
ndvi_aug	0.043581917	0.032662968	0.007370793	0.012460721	4
ndvi_sep	0.028001722	0.013481046	0.00540857	0.008170859	6
ndvi_oct	0.025054321	0.025180218	0.012214444	0.014229252	3
popRFH	0.136689967	0.064978975	0.033850563	0.046041995	2
popRGH	0.254008048	0.327225065	0.109366719	0.135938608	1
st_sep	0.008539275	-0.00092715	0.009928103	0.009195164	5
st_oct	0.022818661	0.033573654	0.003425482	0.007024179	8
swe_sep	0.003664447	0.016301049	0.003175631	0.003928498	11
swe_oct	0.036660367	0.00779914	0.003725573	0.007290518	7
pcp_sep	0.01259223	0.001540265	0.002753899	0.003708558	12
pcp_oct	0.002686799	-0.001524418	0.006227983	0.005432553	9
ndvi_jul	0.001969094	0.013000486	0.003694737	0.004009354	10
ndvi_aug	0.043498824	0.031405259	0.007554126	0.012585287	4
ndvi_sep	0.029709213	0.014552045	0.005807891	0.008746157	6
ndvi_oct	0.025035924	0.026315197	0.011583708	0.013771358	3
popRFH	0.135838751	0.069866507	0.03459434	0.046824162	2
popRGH	0.254366939	0.319259523	0.111140471	0.137006177	1
st_sep	0.007587794	8.49E-06	0.010104246	0.009290315	5
st_oct	0.020057671	0.031902867	0.004267156	0.007396684	7
swe_sep	0.003146423	0.020514011	0.003053015	0.004032423	11
