idanimal	herd	year	dwin	ewin	x	y	cluster
93071205	2	1998	35892	35922	-368181.1824	1809347.909	2
93071205	2	1999	36122	36252	-447923.7551	1256987.421	1
93071205	2	2000	36517	36662	-169700.9672	1550067.734	2
93071205	2	2001	36857	36917	-319564.9766	1331832.519	1
93071205	2	2001	36957	37017	-298351.3804	1797737.644	2
93071206	2	1994	34317	34447	-94509.47112	1784997.507	2
93071206	2	1995	34682	34837	-434072.2938	2005497.444	2
93071207	2	1994	34307	34462	-362151.3338	1641315.658	2
93071207	2	1996	35032	35197	-283267.6094	1173723.393	1
93101112	1	1994	34300	34455	430236.3066	1299765.095	1
93101112	1	1995	34675	34825	-168455.0977	1032184.969	2
93101112	1	1996	34998	35047	459605.6582	1282891.002	1
93101112	1	1996	35096	35193	93004.02029	1139855.409	3
93101112	1	1997	35421	35568	340658.3327	1291818.074	1
93101112	1	1998	35755	35900	394714.1965	1194781.384	1
93101112	1	2000	36520	36665	464635.4503	1302245.037	1
93101112	1	2001	36850	37010	-39552.98792	1425209.859	3
93101112	1	2002	37230	37350	332397.3696	1135526.646	1
93101112	1	2003	37620	37720	305709.7328	1159055.535	1
94021102	1	1995	34690	34825	-351756.0235	1057245.823	2
94021102	1	1996	35045	35185	356776.7659	1223349.516	1
94021203	2	1995	34675	34775	-339679.7351	1199084.496	1
94021203	2	1996	35045	35165	-169437.8164	1223823.468	1
94021203	2	1997	35402	35537	-294641.9475	1147054.469	1
94061201	2	1995	34727	34797	-414078.698	1686810.131	2
94061201	2	1996	35062	35162	-321323.5832	1832635.503	2
94061202	2	1995	34697	34817	-402957.5506	1801672.736	2
94061202	2	1996	35062	35197	-431089.8859	2007604.053	2
94061202	2	1997	35422	35527	-74061.38854	1704975.773	2
94061202	2	1998	35717	35897	-469154.042	2000701.859	2
94061202	2	1999	36122	36207	-436655.6194	1259865.929	1
94061202	2	1999	36227	36262	-342776.2294	1698419.473	2
94061202	2	2000	36527	36612	-267904.8317	1712606.52	2
94061202	2	2001	36857	36922	-305453.6332	1311467.325	1
94061202	2	2001	36952	37017	-279203.3758	1791364.841	2
94061204	2	1995	34682	34817	-343159.1168	1825280.942	2
94061204	2	1996	35067	35162	-314716.6142	1797541.671	2
94061204	2	1997	35422	35537	-75359.29553	1428602.088	2
94061204	2	1998	35747	35827	-317798.9946	1211036.092	1
94061204	2	1998	35892	35917	-307748.9389	1840003.623	2
94061204	2	1999	36187	36287	-346395.4445	1815258.935	2
94061204	2	2000	36532	36662	-133715.1046	1686173.525	2
94061204	2	2001	36817	36917	-369206.0378	1337121.18	1
94061204	2	2001	36947	37027	-200985.5958	1795472.296	2
94061204	2	2002	37292	37337	-321967.4327	1665636.52	2
94061204	2	2003	37647	37712	-159094.3365	1750226.172	2
94061205	2	1995	34705	34810	-482676.8668	1713151.47	2
94061206	2	1996	35057	35182	-415306.9677	1823740.644	2
94061206	2	1997	35402	35542	-149365.9652	1265759.374	1
94101101	1	1995	34672	34824	-176448.5547	1037037.983	2
94101101	1	1996	35039	35170	365434.4155	1229833.709	1
95031101	2	1997	35401	35564	-251274.3409	1086147.146	1
95031102	1	1996	35030	35180	344905.7649	1221943.289	1
95031103	1	1996	35030	35190	-13790.68284	1100403.467	3
95031103	1	1997	35425	35535	-106375.5652	1496748.951	4
95041102	1	1996	35045	35210	282057.234	1282743.167	1
95041103	1	1996	35040	35165	388903.3665	1303444.44	1
95041103	1	1997	35405	35565	-141900.059	1482315.332	4
95041103	1	1998	35757	35882	373045.7462	1195889.136	1
96041203	2	1997	35375	35515	-255335.1855	1349862.249	1
96041203	2	1998	35750	35840	-439460.8261	1271788.981	1
96041203	2	1998	35865	35900	-377892.7547	1578197.708	2
96041203	2	1999	36122	36247	-450967.7893	1282600.147	1
96041203	2	2000	36487	36647	-350118.612	1171444.271	1
96041203	2	2001	36862	36917	-417837.4945	1261582.828	1
96041203	2	2001	36962	37022	-329400.6552	1788042.757	2
96041203	2	2002	37225	37375	-280084.1173	1024351.751	1
96041206	2	1997	35426	35540	-133235.5544	1481846.872	2
96041206	2	1998	35735	35855	-377674.757	1312003.823	1
96041206	2	1998	35890	35920	-363501.3143	1889366.315	2
96041206	2	1999	36122	36188	-415584.3822	1268788.902	1
96041206	2	1999	36237	36305	-340517.9532	1887907.177	2
96041206	2	2000	36483	36613	-545252.7149	1237578.575	1
