ind	idanimal	herd	year	cluster	st_sep	st_oct	swe_sep	swe_oct	pcp_sep	pcp_oct	ndvi_jul	ndvi_aug	ndvi_sep	ndvi_oct
178	2004016	2	2005	SW	5.520656448	0.154805018	0.127939346	4.913207359	3.453888031	1.731422391	0.209963044	0.356513375	0.300790052	0.179213089
178	2004016	2	2006	SW	4.017433197	-1.451840282	0.299014105	11.09238997	1.27171326	2.938937079	0.313559109	0.381665605	0.288249385	0.15995178
178	2004016	2	2007	SW	2.505968527	-0.856398721	3.345057669	5.845158495	6.362156501	1.978843224	0.26399991	0.373706299	0.397176557	0.210151559
178	2004016	2	2008	SW	4.877583186	-2.128732072	0.882034962	16.53680357	3.571379036	3.356955558	0.304258446	0.429889189	0.292401952	0.141238023
178	2004016	2	2009	SW	4.73526393	-3.496968346	0.382277125	15.23112277	2.319489095	2.535913676	0.322899176	0.326666763	0.322486047	0.129667548
178	2004016	2	2010	SW	4.765975647	-1.11927028	0.082965559	8.820286972	2.868398331	1.915789747	0.30285812	0.329629202	0.250771392	0.07035779
179	2005002	1	2005	LAB	6.219161142	-1.394894029	0.15620383	11.90783885	3.15363565	2.568811182	0.286196284	0.515304473	0.224498368	0.106095193
179	2005002	1	2006	LAB	4.130779359	-2.115073122	0.263734118	12.02863902	1.816167377	1.947602438	0.349383139	0.388728929	0.331296141	0.118664331
179	2005002	1	2007	CEN	2.891874212	-2.368265622	1.210163907	8.068142642	4.856939845	1.733050929	0.317223739	0.383394952	0.368683365	0.170948445
179	2005002	1	2008	LAB	5.499115535	-1.096094014	0.52197031	9.213779332	1.670593774	3.031166318	0.352807996	0.403632846	0.311875634	0.214255526
179	2005002	1	2009	LAB	4.567339887	-6.156325334	0.165966899	16.1665088	2.025820115	2.453651783	0.281655806	0.397054717	0.300065719	0.121469859
180	2005004	1	2005	LAB	6.374060643	-1.526580909	0.14535427	12.56208815	3.238901634	2.437437486	0.309172028	0.404648627	0.256743844	0.049945403
180	2005004	1	2006	LAB	4.330237109	-1.531982395	0.193199067	7.746410004	2.007768795	2.090822928	0.378581676	0.381332472	0.323897	0.130401958
181	2005005	1	2005	LAB	6.221248736	-1.887622977	0.082916378	12.79443701	3.800564407	2.613042944	0.337616475	0.338043319	0.154280263	0.123170727
181	2005005	1	2006	LAB	4.377068909	-1.83147744	0.046633037	8.629332481	2.252593386	2.039499275	0.455309963	0.378560633	0.361053165	0.170302258
181	2005005	1	2007	LAB	3.035112353	-1.819785936	2.79724696	6.510333281	6.013473222	1.813305786	0.303308813	0.373058866	0.265236598	0.192579843
181	2005005	1	2008	LAB	5.313597461	-0.832952361	0.534147039	7.735863336	1.830254919	2.779714421	0.402527353	0.419215127	0.24823661	0.213090487
182	2005007	1	2005	LAB	6.175526567	-1.539851292	0.173422588	14.74393052	3.38393941	2.578819689	0.273423067	0.475152955	0.29139766	0.111115827
182	2005007	1	2006	LAB	3.601724586	-2.139198421	0.608291321	8.066714432	2.413255776	2.027819213	0.355486527	0.280723145	0.260641242	0.243060129
182	2005007	1	2007	CEN	2.910318787	-2.331389685	1.657993033	10.10035196	5.242195916	1.786546794	0.320874099	0.406577854	0.323819517	0.183754817
182	2005007	1	2008	LAB	5.276181281	-1.500574093	0.553126313	8.741141535	2.424120993	3.109591167	0.433126651	0.40540093	0.29236252	0.173492612
183	2005010	1	2005	CEN	5.792088809	-1.34093662	0.083132753	8.820653458	2.977729655	2.120244262	0.303353521	0.435324021	0.34590454	0.230366564
183	2005010	1	2006	LAB	3.87171309	-1.972097217	0.504885303	9.187520506	1.710351053	2.038489147	0.376727845	0.365899536	0.273801114	0.10275858
183	2005010	1	2007	LAB	2.689601589	-3.040917752	1.537189098	10.68871348	4.935429443	1.762502788	0.307620501	0.423517933	0.341675825	0.163352127
183	2005010	1	2008	LAB	4.632406104	-1.129951956	0.697788967	8.730628016	1.981697973	3.094348751	0.39775141	0.377621276	0.241019908	0.183845692
183	2005010	1	2009	LAB	4.765101782	-5.272666762	0.520153045	15.57402151	2.756443312	2.726901011	0.340191468	0.359960846	0.307841084	0.179670429
184	2005011	1	2005	SW	NA	-1.665899785	NA	9.007944373	NA	2.29233369	0.333973278	0.355365613	NA	0.217966909
184	2005011	2	2006	SW	4.223232002	-1.276601633	0.230771552	11.78616897	1.499854251	2.916781855	0.198868892	0.320199228	0.268006839	0.235093166
184	2005011	2	2007	SW	2.915271394	-2.000482919	2.775735296	7.704314879	6.842608168	1.668534258	0.269225448	0.376665623	0.381211392	0.164475712
185	2005012	1	2005	CEN	5.982449606	-1.265273163	0.14085875	12.42704385	3.534609713	2.458282939	0.33920842	0.476439703	0.286902451	0.040420303
185	2005012	1	2006	LAB	4.334026464	-1.464295898	0.10070342	7.809998348	2.237994861	2.16807571	0.342121437	0.320358554	0.374361845	0.124177436
185	2005012	1	2007	CEN	2.922339585	-3.355733727	2.648407521	10.21668867	6.491609515	1.927964606	0.308153112	0.402221141	0.347551533	0.135263881
185	2005012	1	2008	LAB	5.414633323	-1.012831403	0.325073888	8.969283868	1.648042708	2.969139485	0.362707274	0.426099613	0.32067902	0.2204021
