SSMB2149	,	159199	213213	244252	310326	335359	172192	293325	198198
SSMB2150	,	147163	197213	162266	338346	287315	172188	305325	186194
SSMB2152	,	167195	209245	162252	294326	307311	162206	297309	186198
SSEB30002	,	167183	201233	174264	294338	339347	158170	293317	194202
SSEB30003	,	159175	213233	236244	318318	307335	188204	329369	198202
SSEB30005	,	159191	213233	174264	302338	335339	172206	337369	182202
SSEB30007	,	167199	193229	252270	322346	315323	204206	313385	194198
SSEB30008	,	167175	213221	236262	326346	307315	188200	313329	194194
SSEB30009	,	175175	205225	158214	330346	295315	158200	313313	190194
SSEB30011	,	167175	213225	252262	330366	267315	188192	329333	194198
SSEB30013	,	163191	189233	174242	334370	295327	172206	337377	198202
SSEB30014	,	167175	217221	166290	314330	275303	174206	317325	194202
SSEB30015	,	167175	125245	252260	314330	275303	174206	321329	194194
SSEB30016	,	191191	213233	174256	310334	327359	170206	293377	198202
SSEB30017	,	159167	201213	166274	334346	315339	172206	293341	194194
SSEB30018	,	167191	213225	270270	322366	307315	172200	333385	198198
SSEB30021	,	163167	197233	174244	302338	287339	172206	337369	182194
SSEB30022	,	175179	213233	236244	318326	267267	172204	325369	198202
SSEB30025	,	167175	189217	166242	314330	303303	188196	317325	194202
SSEB30027	,	167175	213245	236260	318374	299303	174188	321325	194194
SSEB30028	,	167175	125225	162270	346366	315343	200204	325333	194198
SSEB30029	,	151191	205213	170174	334334	283339	200206	293313	182202
SSEB30030	,	167191	225225	270270	322346	315315	192204	333385	190198
SSEB30031	,	147167	209217	224278	290290	295355	172172	309325	194194
SSEB30032	,	159179	125221	236264	318330	267267	202204	285325	194194
SSEB30034	,	167199	193225	252262	322366	307335	172200	313313	190194
SSEB30035	,	175191	217233	174240	334334	327343	158170	337337	182202
SSEB30036	,	159175	169209	252256	326370	295307	180192	317329	194194
SSEB30037	,	167191	233245	174260	342374	319327	158174	321337	194194
SSEB30039	,	167179	125245	162236	330354	267299	174188	321325	194194
SSEB30040	,	167179	209213	236260	330354	267303	174204	293329	198202
SSEB30042	,	163175	129205	162298	334346	315323	174204	313325	190194
SSEB30043	,	167167	233245	162166	334374	319327	158174	321337	194194
SSEB30045	,	175175	221249	266290	334342	275315	172206	337337	202202
SSEB30046	,	167167	233245	174260	338354	303339	174206	293321	194194
SSEB30048	,	167179	217221	260290	294338	307331	174174	297317	186202
SSEB30053	,	167179	197209	158266	294338	307331	174174	273309	170194
SSEB30054	,	151191	197245	166252	310362	295307	172204	285329	174194
SSEB30056	,	163179	193225	162278	330366	295323	174192	293341	182198
SSEB30061	,	179191	201209	214278	334338	307315	174204	297329	170190
SSEB30062	,	163167	225237	162278	338354	291295	172174	297309	194198
SSEB30064	,	163163	205237	162240	330338	291315	170192	285297	170186
SSEB30065	,	163179	173225	162278	314338	291295	172172	285289	194198
SSEB30066	,	163167	209233	260278	326330	287299	158172	277321	170198
SSEB30068	,	167179	185225	166214	310374	295307	170206	361377	194194
